Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9
Dengue,mild bleeding,skin rash,nausea,muscle pain,high fever,vomiting,pain behind the eyes,,
Dengue,muscle pain,severe headache,joint pain,vomiting,pain behind the eyes,nausea,,,
Dengue,joint pain,vomiting,mild bleeding,severe headache,muscle pain,pain behind the eyes,skin rash,high fever,
Dengue,nausea,high fever,mild bleeding,skin rash,vomiting,joint pain,severe headache,,
Dengue,high fever,skin rash,mild bleeding,pain behind the eyes,vomiting,severe headache,joint pain,nausea,
Dengue,vomiting,nausea,pain behind the eyes,skin rash,joint pain,high fever,mild bleeding,muscle pain,
Dengue,skin rash,vomiting,muscle pain,high fever,mild bleeding,severe headache,nausea,joint pain,pain behind the eyes
Dengue,vomiting,skin rash,high fever,joint pain,severe headache,mild bleeding,pain behind the eyes,,
Dengue,mild bleeding,muscle pain,skin rash,vomiting,,,,,
Dengue,high fever,pain behind the eyes,skin rash,mild bleeding,vomiting,nausea,joint pain,muscle pain,severe headache
Dengue,muscle pain,pain behind the eyes,severe headache,mild bleeding,skin rash,vomiting,nausea,high fever,joint pain
Dengue,vomiting,severe headache,muscle pain,nausea,joint pain,skin rash,high fever,mild bleeding,pain behind the eyes
Dengue,skin rash,high fever,pain behind the eyes,severe headache,vomiting,,,,
Dengue,severe headache,nausea,pain behind the eyes,mild bleeding,,,,,
Dengue,vomiting,high fever,muscle pain,pain behind the eyes,,,,,
Dengue,vomiting,mild bleeding,joint pain,nausea,severe headache,skin rash,pain behind the eyes,muscle pain,
Dengue,skin rash,muscle pain,pain behind the eyes,joint pain,,,,,
Dengue,skin rash,joint pain,vomiting,pain behind the eyes,severe headache,high fever,nausea,,
Dengue,mild bleeding,high fever,muscle pain,severe headache,pain behind the eyes,skin rash,,,
Dengue,joint pain,mild bleeding,severe headache,vomiting,skin rash,pain behind the eyes,muscle pain,high fever,
Dengue,pain behind the eyes,high fever,muscle pain,mild bleeding,joint pain,nausea,,,
Dengue,vomiting,muscle pain,nausea,pain behind the eyes,mild bleeding,high fever,,,
Dengue,severe headache,joint pain,pain behind the eyes,vomiting,,,,,
Dengue,vomiting,muscle pain,high fever,nausea,mild bleeding,joint pain,,,
Dengue,severe headache,mild bleeding,vomiting,pain behind the eyes,muscle pain,nausea,skin rash,joint pain,
Dengue,joint pain,mild bleeding,high fever,vomiting,pain behind the eyes,severe headache,,,
Dengue,skin rash,nausea,severe headache,pain behind the eyes,joint pain,muscle pain,vomiting,high fever,
Dengue,joint pain,high fever,mild bleeding,vomiting,,,,,
Dengue,vomiting,severe headache,muscle pain,pain behind the eyes,joint pain,mild bleeding,nausea,skin rash,high fever
Dengue,muscle pain,nausea,joint pain,skin rash,severe headache,high fever,,,
Dengue,high fever,skin rash,vomiting,pain behind the eyes,joint pain,mild bleeding,severe headache,nausea,muscle pain
Dengue,high fever,vomiting,nausea,pain behind the eyes,muscle pain,severe headache,,,
Dengue,nausea,muscle pain,severe headache,high fever,,,,,
Dengue,mild bleeding,high fever,muscle pain,nausea,vomiting,severe headache,joint pain,skin rash,
Dengue,vomiting,mild bleeding,nausea,muscle pain,joint pain,high fever,pain behind the eyes,,
Dengue,pain behind the eyes,muscle pain,high fever,vomiting,,,,,
Dengue,skin rash,mild bleeding,joint pain,nausea,vomiting,,,,
Dengue,pain behind the eyes,nausea,high fever,muscle pain,vomiting,skin rash,joint pain,severe headache,
Dengue,severe headache,muscle pain,vomiting,nausea,mild bleeding,high fever,,,
Dengue,skin rash,joint pain,mild bleeding,pain behind the eyes,muscle pain,,,,
Dengue,high fever,mild bleeding,vomiting,joint pain,muscle pain,skin rash,,,
Dengue,severe headache,joint pain,high fever,muscle pain,nausea,pain behind the eyes,vomiting,mild bleeding,
Dengue,muscle pain,nausea,joint pain,severe headache,,,,,
Dengue,muscle pain,severe headache,pain behind the eyes,nausea,joint pain,,,,
Dengue,joint pain,muscle pain,mild bleeding,severe headache,high fever,skin rash,,,
Dengue,mild bleeding,joint pain,nausea,vomiting,high fever,severe headache,skin rash,muscle pain,
Dengue,muscle pain,pain behind the eyes,high fever,mild bleeding,severe headache,joint pain,nausea,vomiting,skin rash
Dengue,nausea,joint pain,muscle pain,skin rash,high fever,mild bleeding,pain behind the eyes,vomiting,
Dengue,muscle pain,joint pain,severe headache,vomiting,high fever,pain behind the eyes,mild bleeding,skin rash,
Dengue,muscle pain,severe headache,joint pain,nausea,,,,,
Dengue,high fever,skin rash,severe headache,vomiting,mild bleeding,pain behind the eyes,muscle pain,nausea,
Dengue,vomiting,mild bleeding,pain behind the eyes,high fever,skin rash,nausea,,,
Dengue,joint pain,muscle pain,nausea,pain behind the eyes,severe headache,high fever,mild bleeding,vomiting,
Dengue,vomiting,nausea,severe headache,skin rash,,,,,
Dengue,muscle pain,skin rash,severe headache,joint pain,pain behind the eyes,high fever,,,
Dengue,joint pain,high fever,mild bleeding,vomiting,muscle pain,severe headache,,,
Dengue,pain behind the eyes,vomiting,nausea,muscle pain,high fever,skin rash,,,
Dengue,muscle pain,severe headache,pain behind the eyes,vomiting,mild bleeding,,,,
Dengue,skin rash,muscle pain,high fever,severe headache,joint pain,nausea,mild bleeding,vomiting,pain behind the eyes
Dengue,severe headache,skin rash,joint pain,mild bleeding,nausea,,,,
Dengue,severe headache,muscle pain,skin rash,joint pain,pain behind the eyes,high fever,vomiting,,
Dengue,mild bleeding,vomiting,nausea,high fever,severe headache,pain behind the eyes,skin rash,,
Dengue,high fever,pain behind the eyes,muscle pain,severe headache,,,,,
Dengue,muscle pain,mild bleeding,skin rash,pain behind the eyes,joint pain,,,,
Dengue,nausea,high fever,mild bleeding,skin rash,severe headache,joint pain,pain behind the eyes,muscle pain,vomiting
Dengue,skin rash,pain behind the eyes,mild bleeding,muscle pain,,,,,
Dengue,nausea,vomiting,skin rash,muscle pain,high fever,pain behind the eyes,severe headache,mild bleeding,
Dengue,severe headache,pain behind the eyes,skin rash,high fever,,,,,
Dengue,mild bleeding,nausea,pain behind the eyes,joint pain,high fever,,,,
Dengue,vomiting,nausea,mild bleeding,pain behind the eyes,,,,,
Dengue,severe headache,nausea,muscle pain,vomiting,pain behind the eyes,joint pain,,,
Dengue,mild bleeding,nausea,high fever,joint pain,pain behind the eyes,severe headache,muscle pain,vomiting,
Dengue,mild bleeding,severe headache,joint pain,nausea,vomiting,muscle pain,high fever,skin rash,pain behind the eyes
Dengue,joint pain,pain behind the eyes,muscle pain,skin rash,,,,,
Dengue,joint pain,muscle pain,nausea,skin rash,pain behind the eyes,high fever,vomiting,,
Dengue,nausea,vomiting,muscle pain,severe headache,high fever,skin rash,,,
Dengue,severe headache,nausea,skin rash,muscle pain,pain behind the eyes,vomiting,high fever,,
Dengue,severe headache,skin rash,muscle pain,joint pain,nausea,high fever,mild bleeding,pain behind the eyes,
Dengue,mild bleeding,joint pain,nausea,muscle pain,severe headache,,,,
Dengue,high fever,joint pain,mild bleeding,pain behind the eyes,severe headache,muscle pain,nausea,skin rash,vomiting
Dengue,high fever,joint pain,skin rash,vomiting,mild bleeding,severe headache,pain behind the eyes,,
Dengue,pain behind the eyes,skin rash,vomiting,mild bleeding,,,,,
Dengue,mild bleeding,muscle pain,severe headache,nausea,vomiting,joint pain,,,
Dengue,skin rash,nausea,joint pain,muscle pain,high fever,mild bleeding,severe headache,pain behind the eyes,
Dengue,vomiting,mild bleeding,high fever,pain behind the eyes,,,,,
Dengue,mild bleeding,muscle pain,nausea,pain behind the eyes,high fever,,,,
Dengue,pain behind the eyes,high fever,nausea,joint pain,severe headache,skin rash,muscle pain,vomiting,
Dengue,skin rash,nausea,high fever,pain behind the eyes,mild bleeding,muscle pain,,,
Dengue,high fever,joint pain,severe headache,vomiting,,,,,
Dengue,joint pain,skin rash,mild bleeding,nausea,muscle pain,high fever,pain behind the eyes,severe headache,
Dengue,joint pain,high fever,severe headache,skin rash,vomiting,,,,
Dengue,pain behind the eyes,joint pain,nausea,severe headache,muscle pain,skin rash,,,
Dengue,vomiting,joint pain,skin rash,nausea,mild bleeding,high fever,severe headache,,
Dengue,joint pain,vomiting,severe headache,nausea,mild bleeding,,,,
Dengue,nausea,high fever,mild bleeding,severe headache,skin rash,,,,
Dengue,joint pain,vomiting,pain behind the eyes,severe headache,muscle pain,,,,
Dengue,joint pain,severe headache,high fever,skin rash,mild bleeding,,,,
Dengue,muscle pain,nausea,mild bleeding,vomiting,pain behind the eyes,,,,
Dengue,high fever,muscle pain,severe headache,skin rash,joint pain,mild bleeding,,,
Dengue,nausea,pain behind the eyes,skin rash,high fever,vomiting,severe headache,joint pain,mild bleeding,
Dengue,muscle pain,nausea,mild bleeding,joint pain,pain behind the eyes,,,,
Dengue,pain behind the eyes,severe headache,mild bleeding,vomiting,muscle pain,nausea,,,
Dengue,joint pain,vomiting,mild bleeding,severe headache,nausea,high fever,muscle pain,,
Dengue,muscle pain,vomiting,high fever,joint pain,nausea,skin rash,mild bleeding,severe headache,
Dengue,severe headache,joint pain,pain behind the eyes,muscle pain,mild bleeding,,,,
Dengue,mild bleeding,severe headache,joint pain,high fever,skin rash,vomiting,pain behind the eyes,muscle pain,nausea
Dengue,muscle pain,pain behind the eyes,mild bleeding,severe headache,high fever,skin rash,nausea,,
Dengue,joint pain,pain behind the eyes,severe headache,vomiting,,,,,
Dengue,mild bleeding,pain behind the eyes,nausea,high fever,skin rash,severe headache,muscle pain,,
Dengue,pain behind the eyes,skin rash,mild bleeding,high fever,vomiting,,,,
Dengue,high fever,skin rash,muscle pain,mild bleeding,vomiting,severe headache,,,
Dengue,pain behind the eyes,joint pain,mild bleeding,vomiting,skin rash,severe headache,nausea,muscle pain,high fever
Dengue,severe headache,vomiting,muscle pain,pain behind the eyes,nausea,skin rash,high fever,joint pain,mild bleeding
Dengue,pain behind the eyes,nausea,joint pain,high fever,skin rash,vomiting,,,
Dengue,severe headache,pain behind the eyes,mild bleeding,nausea,,,,,
Dengue,high fever,pain behind the eyes,vomiting,joint pain,nausea,mild bleeding,severe headache,muscle pain,skin rash
Dengue,high fever,nausea,mild bleeding,pain behind the eyes,joint pain,muscle pain,vomiting,skin rash,
Dengue,pain behind the eyes,severe headache,nausea,joint pain,mild bleeding,muscle pain,skin rash,high fever,
Dengue,nausea,severe headache,high fever,muscle pain,mild bleeding,skin rash,joint pain,pain behind the eyes,
Dengue,nausea,joint pain,severe headache,skin rash,pain behind the eyes,mild bleeding,vomiting,,
Dengue,nausea,mild bleeding,joint pain,severe headache,pain behind the eyes,skin rash,high fever,,
Dengue,muscle pain,joint pain,high fever,skin rash,mild bleeding,,,,
Dengue,joint pain,muscle pain,pain behind the eyes,high fever,vomiting,nausea,severe headache,skin rash,
Dengue,muscle pain,pain behind the eyes,joint pain,severe headache,,,,,
Dengue,mild bleeding,joint pain,pain behind the eyes,vomiting,high fever,muscle pain,skin rash,,
Dengue,severe headache,skin rash,vomiting,joint pain,,,,,
Dengue,joint pain,muscle pain,nausea,vomiting,high fever,mild bleeding,pain behind the eyes,severe headache,skin rash
Dengue,mild bleeding,joint pain,vomiting,high fever,skin rash,muscle pain,severe headache,nausea,
Dengue,vomiting,high fever,pain behind the eyes,muscle pain,,,,,
Dengue,vomiting,skin rash,mild bleeding,pain behind the eyes,,,,,
Dengue,severe headache,joint pain,vomiting,nausea,pain behind the eyes,high fever,mild bleeding,,
Dengue,high fever,pain behind the eyes,skin rash,vomiting,severe headache,nausea,joint pain,muscle pain,
Dengue,high fever,joint pain,severe headache,pain behind the eyes,mild bleeding,skin rash,nausea,muscle pain,vomiting
Dengue,severe headache,skin rash,nausea,joint pain,pain behind the eyes,high fever,vomiting,muscle pain,
Dengue,severe headache,pain behind the eyes,vomiting,skin rash,joint pain,mild bleeding,,,
Dengue,pain behind the eyes,high fever,nausea,vomiting,,,,,
Dengue,severe headache,pain behind the eyes,vomiting,joint pain,high fever,muscle pain,skin rash,nausea,
Dengue,vomiting,high fever,muscle pain,pain behind the eyes,,,,,
Dengue,mild bleeding,skin rash,high fever,muscle pain,pain behind the eyes,nausea,severe headache,,
Dengue,mild bleeding,muscle pain,vomiting,pain behind the eyes,severe headache,nausea,joint pain,,
Dengue,muscle pain,vomiting,mild bleeding,pain behind the eyes,,,,,
Dengue,nausea,muscle pain,vomiting,joint pain,high fever,,,,
Dengue,pain behind the eyes,joint pain,severe headache,nausea,mild bleeding,,,,
Dengue,nausea,mild bleeding,muscle pain,high fever,joint pain,skin rash,vomiting,severe headache,
Dengue,mild bleeding,vomiting,muscle pain,joint pain,pain behind the eyes,,,,
Dengue,skin rash,nausea,mild bleeding,high fever,,,,,
Dengue,joint pain,muscle pain,vomiting,pain behind the eyes,skin rash,nausea,,,
Dengue,joint pain,skin rash,muscle pain,nausea,vomiting,severe headache,,,
Dengue,severe headache,skin rash,muscle pain,nausea,mild bleeding,pain behind the eyes,,,
Dengue,muscle pain,high fever,vomiting,mild bleeding,skin rash,severe headache,,,
Dengue,high fever,mild bleeding,severe headache,pain behind the eyes,,,,,
Dengue,severe headache,joint pain,mild bleeding,pain behind the eyes,nausea,muscle pain,high fever,vomiting,skin rash
Dengue,muscle pain,skin rash,nausea,severe headache,mild bleeding,pain behind the eyes,,,
Dengue,vomiting,nausea,mild bleeding,pain behind the eyes,high fever,muscle pain,,,
Dengue,mild bleeding,joint pain,muscle pain,skin rash,high fever,vomiting,severe headache,,
Dengue,mild bleeding,skin rash,vomiting,nausea,high fever,pain behind the eyes,severe headache,,
Dengue,high fever,muscle pain,vomiting,mild bleeding,skin rash,,,,
Dengue,high fever,severe headache,joint pain,nausea,skin rash,,,,
Dengue,skin rash,mild bleeding,pain behind the eyes,joint pain,high fever,nausea,severe headache,,
Dengue,joint pain,pain behind the eyes,high fever,skin rash,vomiting,severe headache,muscle pain,,
Dengue,vomiting,skin rash,high fever,severe headache,nausea,,,,
Dengue,mild bleeding,nausea,severe headache,pain behind the eyes,muscle pain,vomiting,high fever,skin rash,
Dengue,vomiting,joint pain,mild bleeding,muscle pain,,,,,
Dengue,pain behind the eyes,joint pain,severe headache,nausea,muscle pain,mild bleeding,,,
Dengue,severe headache,skin rash,muscle pain,high fever,pain behind the eyes,,,,
Dengue,joint pain,nausea,mild bleeding,skin rash,,,,,
Dengue,severe headache,nausea,skin rash,high fever,,,,,
Dengue,severe headache,vomiting,pain behind the eyes,high fever,muscle pain,skin rash,nausea,mild bleeding,
Dengue,high fever,muscle pain,mild bleeding,severe headache,skin rash,vomiting,nausea,joint pain,
Dengue,muscle pain,severe headache,skin rash,nausea,mild bleeding,vomiting,joint pain,high fever,
Dengue,high fever,severe headache,skin rash,mild bleeding,joint pain,nausea,vomiting,pain behind the eyes,muscle pain
Dengue,skin rash,severe headache,nausea,muscle pain,joint pain,mild bleeding,,,
Dengue,skin rash,pain behind the eyes,muscle pain,joint pain,mild bleeding,high fever,nausea,,
Dengue,muscle pain,joint pain,skin rash,mild bleeding,vomiting,pain behind the eyes,,,
Dengue,mild bleeding,vomiting,joint pain,high fever,,,,,
Dengue,pain behind the eyes,vomiting,nausea,mild bleeding,severe headache,high fever,skin rash,muscle pain,
Dengue,nausea,joint pain,high fever,severe headache,,,,,
Dengue,high fever,joint pain,pain behind the eyes,muscle pain,skin rash,nausea,,,
Dengue,joint pain,high fever,severe headache,mild bleeding,muscle pain,vomiting,nausea,pain behind the eyes,skin rash
Dengue,vomiting,joint pain,nausea,pain behind the eyes,high fever,,,,
Dengue,joint pain,severe headache,muscle pain,high fever,skin rash,nausea,,,
Dengue,nausea,muscle pain,high fever,mild bleeding,skin rash,severe headache,joint pain,vomiting,pain behind the eyes
Dengue,muscle pain,joint pain,vomiting,high fever,nausea,pain behind the eyes,mild bleeding,skin rash,
Dengue,vomiting,high fever,pain behind the eyes,muscle pain,skin rash,mild bleeding,nausea,severe headache,joint pain
Dengue,vomiting,skin rash,nausea,pain behind the eyes,,,,,
Dengue,nausea,pain behind the eyes,severe headache,vomiting,high fever,mild bleeding,skin rash,,
Dengue,high fever,pain behind the eyes,joint pain,severe headache,,,,,
Dengue,mild bleeding,nausea,vomiting,joint pain,muscle pain,pain behind the eyes,high fever,severe headache,skin rash
Dengue,pain behind the eyes,vomiting,high fever,skin rash,nausea,,,,
Dengue,mild bleeding,pain behind the eyes,joint pain,skin rash,vomiting,severe headache,high fever,nausea,muscle pain
Dengue,muscle pain,skin rash,joint pain,mild bleeding,high fever,,,,
Dengue,nausea,mild bleeding,severe headache,pain behind the eyes,,,,,
Dengue,mild bleeding,joint pain,high fever,severe headache,muscle pain,pain behind the eyes,nausea,,
Dengue,muscle pain,high fever,vomiting,severe headache,,,,,
Dengue,skin rash,pain behind the eyes,joint pain,severe headache,vomiting,high fever,mild bleeding,nausea,muscle pain
Dengue,joint pain,mild bleeding,severe headache,nausea,muscle pain,vomiting,high fever,,
Dengue,high fever,vomiting,severe headache,skin rash,pain behind the eyes,,,,
Dengue,joint pain,severe headache,nausea,high fever,pain behind the eyes,skin rash,,,
Dengue,nausea,mild bleeding,vomiting,pain behind the eyes,high fever,skin rash,muscle pain,joint pain,
Dengue,mild bleeding,pain behind the eyes,severe headache,nausea,vomiting,muscle pain,skin rash,high fever,
Dengue,skin rash,pain behind the eyes,mild bleeding,nausea,high fever,vomiting,joint pain,severe headache,
Dengue,nausea,mild bleeding,muscle pain,joint pain,high fever,,,,
Dengue,nausea,skin rash,mild bleeding,vomiting,high fever,muscle pain,severe headache,joint pain,
Dengue,high fever,mild bleeding,nausea,severe headache,joint pain,vomiting,muscle pain,skin rash,
Dengue,nausea,pain behind the eyes,muscle pain,high fever,joint pain,severe headache,mild bleeding,vomiting,
Dengue,skin rash,severe headache,mild bleeding,nausea,high fever,muscle pain,joint pain,,
Dengue,muscle pain,vomiting,pain behind the eyes,nausea,skin rash,high fever,,,
Dengue,joint pain,mild bleeding,skin rash,pain behind the eyes,muscle pain,,,,
Dengue,severe headache,nausea,high fever,skin rash,joint pain,muscle pain,mild bleeding,pain behind the eyes,
Dengue,severe headache,vomiting,nausea,mild bleeding,pain behind the eyes,joint pain,skin rash,muscle pain,high fever
Dengue,vomiting,nausea,muscle pain,pain behind the eyes,severe headache,high fever,skin rash,mild bleeding,joint pain
Dengue,nausea,high fever,muscle pain,joint pain,skin rash,mild bleeding,pain behind the eyes,severe headache,vomiting
Dengue,skin rash,pain behind the eyes,nausea,vomiting,severe headache,joint pain,high fever,muscle pain,
Dengue,vomiting,pain behind the eyes,skin rash,nausea,mild bleeding,severe headache,,,
Dengue,skin rash,pain behind the eyes,severe headache,muscle pain,joint pain,,,,
Dengue,vomiting,joint pain,pain behind the eyes,muscle pain,mild bleeding,skin rash,severe headache,high fever,
Dengue,muscle pain,high fever,pain behind the eyes,severe headache,mild bleeding,vomiting,joint pain,nausea,
Dengue,skin rash,vomiting,mild bleeding,joint pain,pain behind the eyes,nausea,,,
Dengue,nausea,joint pain,pain behind the eyes,muscle pain,mild bleeding,severe headache,high fever,vomiting,skin rash
Dengue,nausea,pain behind the eyes,joint pain,muscle pain,high fever,severe headache,skin rash,mild bleeding,vomiting
Dengue,severe headache,skin rash,pain behind the eyes,mild bleeding,vomiting,,,,
Dengue,high fever,joint pain,pain behind the eyes,nausea,skin rash,vomiting,severe headache,muscle pain,
Dengue,pain behind the eyes,vomiting,joint pain,skin rash,nausea,mild bleeding,severe headache,muscle pain,high fever
Dengue,joint pain,nausea,mild bleeding,high fever,pain behind the eyes,skin rash,severe headache,vomiting,
Dengue,nausea,skin rash,muscle pain,high fever,pain behind the eyes,severe headache,vomiting,,
Dengue,pain behind the eyes,high fever,severe headache,muscle pain,mild bleeding,,,,
Dengue,vomiting,muscle pain,nausea,severe headache,high fever,joint pain,skin rash,pain behind the eyes,mild bleeding
Dengue,joint pain,nausea,severe headache,high fever,skin rash,vomiting,mild bleeding,,
Dengue,skin rash,vomiting,pain behind the eyes,joint pain,,,,,
Dengue,vomiting,high fever,joint pain,skin rash,pain behind the eyes,severe headache,nausea,,
Dengue,muscle pain,high fever,mild bleeding,severe headache,vomiting,joint pain,nausea,,
Dengue,high fever,pain behind the eyes,nausea,muscle pain,joint pain,severe headache,mild bleeding,vomiting,skin rash
Dengue,pain behind the eyes,severe headache,joint pain,nausea,vomiting,high fever,,,
Dengue,muscle pain,pain behind the eyes,severe headache,nausea,vomiting,mild bleeding,joint pain,,
Dengue,muscle pain,severe headache,pain behind the eyes,nausea,skin rash,vomiting,mild bleeding,high fever,joint pain
Dengue,mild bleeding,joint pain,vomiting,high fever,severe headache,,,,
Dengue,pain behind the eyes,mild bleeding,muscle pain,high fever,severe headache,nausea,skin rash,,
Dengue,nausea,muscle pain,joint pain,high fever,mild bleeding,,,,
Dengue,pain behind the eyes,high fever,nausea,vomiting,,,,,
Dengue,nausea,severe headache,muscle pain,mild bleeding,,,,,
Dengue,muscle pain,severe headache,joint pain,pain behind the eyes,,,,,
Dengue,severe headache,pain behind the eyes,muscle pain,high fever,,,,,
Dengue,severe headache,vomiting,mild bleeding,pain behind the eyes,high fever,joint pain,,,
Dengue,pain behind the eyes,skin rash,mild bleeding,severe headache,muscle pain,,,,
Dengue,nausea,joint pain,muscle pain,mild bleeding,pain behind the eyes,severe headache,skin rash,high fever,vomiting
Dengue,pain behind the eyes,muscle pain,joint pain,nausea,high fever,skin rash,mild bleeding,vomiting,severe headache
Dengue,nausea,muscle pain,vomiting,mild bleeding,severe headache,joint pain,,,
Dengue,nausea,joint pain,mild bleeding,vomiting,pain behind the eyes,,,,
Dengue,skin rash,vomiting,severe headache,pain behind the eyes,high fever,joint pain,nausea,,
Dengue,vomiting,high fever,nausea,joint pain,pain behind the eyes,,,,
Dengue,mild bleeding,pain behind the eyes,high fever,muscle pain,skin rash,joint pain,nausea,severe headache,
Dengue,nausea,skin rash,severe headache,pain behind the eyes,vomiting,joint pain,muscle pain,high fever,
Dengue,high fever,nausea,joint pain,pain behind the eyes,severe headache,mild bleeding,,,
Dengue,muscle pain,skin rash,joint pain,mild bleeding,pain behind the eyes,severe headache,vomiting,high fever,
Dengue,mild bleeding,pain behind the eyes,muscle pain,severe headache,joint pain,high fever,nausea,skin rash,
Dengue,muscle pain,nausea,vomiting,pain behind the eyes,skin rash,high fever,mild bleeding,severe headache,joint pain
Dengue,muscle pain,vomiting,pain behind the eyes,skin rash,mild bleeding,nausea,joint pain,severe headache,
Dengue,joint pain,muscle pain,vomiting,high fever,pain behind the eyes,skin rash,severe headache,mild bleeding,nausea
Dengue,vomiting,pain behind the eyes,skin rash,high fever,mild bleeding,muscle pain,nausea,,
Dengue,nausea,muscle pain,high fever,severe headache,vomiting,joint pain,mild bleeding,pain behind the eyes,
Dengue,mild bleeding,joint pain,severe headache,skin rash,high fever,pain behind the eyes,nausea,vomiting,muscle pain
Dengue,nausea,pain behind the eyes,vomiting,severe headache,high fever,joint pain,muscle pain,mild bleeding,
Dengue,muscle pain,high fever,nausea,vomiting,mild bleeding,,,,
Dengue,nausea,skin rash,pain behind the eyes,mild bleeding,high fever,vomiting,severe headache,muscle pain,joint pain
Dengue,vomiting,nausea,joint pain,high fever,mild bleeding,muscle pain,severe headache,pain behind the eyes,
Dengue,severe headache,mild bleeding,pain behind the eyes,high fever,,,,,
Dengue,vomiting,pain behind the eyes,muscle pain,joint pain,skin rash,severe headache,mild bleeding,nausea,high fever
Dengue,nausea,high fever,vomiting,pain behind the eyes,mild bleeding,skin rash,muscle pain,joint pain,
Dengue,muscle pain,joint pain,pain behind the eyes,high fever,mild bleeding,severe headache,nausea,,
Dengue,pain behind the eyes,nausea,vomiting,severe headache,skin rash,muscle pain,,,
Dengue,joint pain,mild bleeding,high fever,vomiting,severe headache,,,,
Dengue,mild bleeding,high fever,skin rash,joint pain,,,,,
Dengue,skin rash,nausea,joint pain,pain behind the eyes,,,,,
Dengue,vomiting,skin rash,high fever,joint pain,mild bleeding,nausea,muscle pain,severe headache,pain behind the eyes
Dengue,mild bleeding,skin rash,pain behind the eyes,severe headache,,,,,
Dengue,pain behind the eyes,skin rash,severe headache,muscle pain,vomiting,high fever,,,
Dengue,mild bleeding,vomiting,pain behind the eyes,nausea,joint pain,high fever,,,
Dengue,vomiting,joint pain,severe headache,pain behind the eyes,mild bleeding,nausea,skin rash,muscle pain,high fever
Dengue,muscle pain,nausea,high fever,vomiting,severe headache,pain behind the eyes,mild bleeding,,
Dengue,severe headache,mild bleeding,skin rash,high fever,vomiting,joint pain,,,
Dengue,mild bleeding,severe headache,pain behind the eyes,vomiting,skin rash,joint pain,muscle pain,high fever,
Dengue,joint pain,high fever,skin rash,severe headache,,,,,
Dengue,muscle pain,high fever,mild bleeding,skin rash,nausea,,,,
Dengue,skin rash,joint pain,vomiting,pain behind the eyes,high fever,nausea,severe headache,,
Dengue,vomiting,severe headache,pain behind the eyes,skin rash,joint pain,high fever,mild bleeding,nausea,muscle pain
Dengue,high fever,joint pain,mild bleeding,pain behind the eyes,muscle pain,nausea,skin rash,vomiting,severe headache
Dengue,mild bleeding,severe headache,muscle pain,high fever,joint pain,pain behind the eyes,,,
Dengue,pain behind the eyes,high fever,skin rash,mild bleeding,severe headache,muscle pain,nausea,vomiting,joint pain
Dengue,high fever,vomiting,skin rash,muscle pain,,,,,
Dengue,vomiting,high fever,nausea,severe headache,pain behind the eyes,skin rash,muscle pain,mild bleeding,
Dengue,high fever,joint pain,mild bleeding,skin rash,,,,,
Dengue,joint pain,mild bleeding,severe headache,pain behind the eyes,,,,,
Dengue,mild bleeding,skin rash,pain behind the eyes,severe headache,high fever,nausea,vomiting,muscle pain,joint pain
Dengue,muscle pain,skin rash,severe headache,joint pain,vomiting,,,,
Dengue,vomiting,muscle pain,joint pain,pain behind the eyes,skin rash,,,,
Dengue,mild bleeding,pain behind the eyes,high fever,joint pain,severe headache,muscle pain,,,
Dengue,joint pain,vomiting,pain behind the eyes,skin rash,,,,,
Dengue,joint pain,vomiting,pain behind the eyes,mild bleeding,muscle pain,skin rash,severe headache,,
Dengue,nausea,severe headache,skin rash,joint pain,muscle pain,mild bleeding,,,
Dengue,pain behind the eyes,severe headache,skin rash,nausea,high fever,,,,
Dengue,nausea,skin rash,vomiting,mild bleeding,,,,,
Dengue,high fever,severe headache,skin rash,mild bleeding,muscle pain,,,,
Dengue,nausea,mild bleeding,pain behind the eyes,joint pain,,,,,
Dengue,mild bleeding,muscle pain,pain behind the eyes,severe headache,high fever,vomiting,skin rash,,
Dengue,mild bleeding,muscle pain,severe headache,nausea,vomiting,,,,
Dengue,mild bleeding,severe headache,joint pain,nausea,skin rash,high fever,pain behind the eyes,vomiting,muscle pain
Dengue,high fever,skin rash,vomiting,severe headache,pain behind the eyes,nausea,muscle pain,mild bleeding,joint pain
Dengue,skin rash,joint pain,pain behind the eyes,muscle pain,severe headache,high fever,mild bleeding,vomiting,nausea
Dengue,skin rash,vomiting,mild bleeding,nausea,pain behind the eyes,,,,
Dengue,high fever,mild bleeding,vomiting,pain behind the eyes,skin rash,,,,
Dengue,high fever,severe headache,vomiting,joint pain,muscle pain,pain behind the eyes,,,
Dengue,pain behind the eyes,joint pain,muscle pain,nausea,vomiting,high fever,skin rash,mild bleeding,
Dengue,mild bleeding,skin rash,joint pain,vomiting,severe headache,pain behind the eyes,high fever,muscle pain,
Dengue,muscle pain,high fever,nausea,mild bleeding,,,,,
Dengue,muscle pain,nausea,high fever,joint pain,,,,,
Dengue,muscle pain,nausea,severe headache,high fever,skin rash,joint pain,,,
Dengue,vomiting,skin rash,muscle pain,joint pain,severe headache,high fever,,,
Dengue,joint pain,high fever,skin rash,pain behind the eyes,nausea,mild bleeding,muscle pain,severe headache,vomiting
Dengue,pain behind the eyes,vomiting,joint pain,severe headache,,,,,
